Advanced special needs,learning difficulties
Advise on treatment of minor problems with the hair or scalp,treat scalp conditions
Apply first aid,apply first response
Apply first aid,demonstrate emergency procedures
Apply first aid,first response
Apply first aid,handle veterinary emergencies
Apply first aid,provide first aid
Apply make-up,cosmetics
Apply make-up,cosmetics industry
Apply make-up,make-up techniques
Apply make-up,test make-up
Assess nutritional properties,composition of diets
Assess nutritional properties,dietary regimes
Assess nutritional properties,identify nutritional properties of food
Assess nutritional properties,nutrition
Assist students in learning,assist children with homework
Assist students in learning,assist students in their learning
Assist students in learning,assist students with equipment
Assist students in learning,learning needs analysis
Being a leader,manage staff
Care for food detail,attend to detail regarding food and beverages
Care for food detail,food and beverages on the menu
Care for food detail,plan menus
Care for food detail,present decorative drink displays
Care for food detail,use culinary finishing techniques
Clear written communication,develop tourist information materials
Clear written communication,disseminate messages to people
Clear written communication,produce content for tourism brochures
Collect information,collect customer data
Collect information,collect tourist information
Conduct basic preparatory activities,buy groceries
Conduct basic preparatory activities,execute chilling processes to food products
Conduct basic preparatory activities,prepare orders
Conduct basic preparatory activities,prepare ready-made dishes
Conduct basic preparatory activities,use food preparation techniques
Cook meat and fish,cook fish
Cook meat and fish,cook meat dishes
Cook meat and fish,cook seafood
Cook pasta and sauces,cook sauce products
Cook vegetables and dairy products,cook dairy products
Cook vegetables and dairy products,cook vegetable products
Cope with pressure,deal with aggressive behaviour
Cope with pressure,perform services in a flexible manner
Cope with pressure,tolerate stress
Cut perm and colour hair,advise on hair style
Cut perm and colour hair,apply hair cutting techniques
Cut perm and colour hair,barbering techniques
Cut perm and colour hair,dye hair
Cut perm and colour hair,hair
Cut perm and colour hair,hair colouring
Cut perm and colour hair,hair products
Cut perm and colour hair,hairdressing
Cut perm and colour hair,stay up-to-date with fashion trends in hair style
Cut perm and colour hair,use equipment for hair care
Drive light vehicles,park guest's vehicle
Educate children,assess the development of youth
Educate children,assist in children's development of basic personal skills
Educate children,conduct educational activities
Educate children,implement care programmes for children
Educate children,local geography
Educate children,maintain students' discipline
Educate children,monitor student's behaviour
Educate children,observe student's progress
Educate children,prepare youths for adulthood
Educate children,primary school procedures
Educate children,provide lesson materials
Educate children,provide teacher support
Follow instructions,adhere to organisational guidelines
Follow instructions,follow company standards
Follow instructions,follow organisational guidelines in the cleaning industry
Follow instructions,follow verbal instructions
Give massages,give massages
Interact with customers clearly,answer incoming calls
Interact with customers clearly,communicate by telephone
Interact with customers clearly,communicate with customers
Interact with customers clearly,disseminate internal communications
Interact with customers clearly,guarantee customer satisfaction
Interact with customers clearly,identify customer's needs
Interact with customers clearly,maintain customer service
Interact with customers clearly,provide customer follow-up
Interact with customers clearly,respond to customers' inquiries
Interact with customers clearly,satisfy customers
Interacting with people,coach employees
Interacting with people,maintain relations with children's parents
Interacting with people,maintain working relationships
Interacting with people,seat customers according to the waiting list
Interacting with people,show social competences
Interacting with people,tend amusement park booths
Knowledge of local area culture,geographical areas relevant to tourism
Knowledge of local area culture,inform visitors at tour sites
Knowledge of local area culture,local area tourism industry
Knowledge of local area culture,select visitor routes
Maintain tables clean and ready,arrange tables
Maintain tables clean and ready,check dining room cleanliness
Maintain tables clean and ready,handle glassware
Maintain tables clean and ready,maintain bar cleanliness
Maintain tables clean and ready,prepare the restaurant for service
Maintain tables clean and ready,set up bar area
Maintain tables clean and ready,set up the coffee area
Manage people logistically,assist guest departure
Manage people logistically,deal with arrivals in accommodation
Manage people logistically,deal with departures in accommodation
Manage people logistically,manage health and safety standards
Manage people logistically,manage the customer experience
Manage people logistically,perform customer management
Manage people physically,assist passenger embarkation
Manage people physically,facilitate safe disembarkation of passengers
Managing groups of people,animate in the outdoors
Managing groups of people,ensure health and safety of visitors
Managing groups of people,escort visitors to places of interest
Managing groups of people,guarantee students' safety
Managing groups of people,help to control passenger behaviour during emergency situations
Managing groups of people,manage tourist groups
Monitor preparation activities,comply with food safety and hygiene
Monitor preparation activities,ensure cleanliness of food preparation area
Monitor preparation activities,ensure regular maintenance of kitchen equipment
Monitor preparation activities,maintain kitchen equipment at correct temperature
Monitor preparation activities,supervise food quality
Operate cooking equipment,handle kitchen equipment according to the requirements
Operate cooking equipment,maintain equipment for non-alcoholic drinks
Operate cooking equipment,operate brick oven
Operate cooking equipment,use cooking techniques
Operate cooking equipment,use food cutting tools
Operate cooking equipment,use reheating techniques
Organisational skills,allocate locker space
Organisational skills,allocate numbers to clients' belongings
Organisational skills,assemble visitor supplies
Organisational skills,carry out inventory control accuracy
Organisational skills,check deliveries on receipt
Organisational skills,check in passengers
Organisational skills,check tickets at venue entry
Organisational skills,collect fares
Organisational skills,finish project within budget
Organisational skills,follow work schedule
Organisational skills,handle delivered packages
Organisational skills,handle tour contract details
Organisational skills,keep records of customer interaction
Organisational skills,keep task records
Organisational skills,maintain logbooks
Organisational skills,make logistical arrangements
Organisational skills,manage campsite supplies
Organisational skills,manage lost and found articles
Organisational skills,process booking
Organisational skills,process reservations
Organisational skills,schedule shifts
Organisational skills,tend to clients' personal items
Perform administrative duties,administer appointments
Perform administrative duties,apply numeracy skills
Perform administrative duties,control of expenses
Perform administrative duties,maintain camping facilities
Perform administrative duties,maintain customer records
Perform administrative duties,maintain reception area
