cook sauce products,http://data.europa.eu/esco/skill/614478b3-51a2-4a55-b3ef-a932105eaeaf,Cook pasta and sauces
announce amusement park attractions,http://data.europa.eu/esco/skill/0f8b7a8d-371b-4ee9-8f4e-3317442bd047,Nope
cook vegetable products,http://data.europa.eu/esco/skill/555d83ff-dbf9-481a-b726-2d502a11904e,Cook vegetables and dairy products
use culinary finishing techniques,http://data.europa.eu/esco/skill/bb84d739-1b06-477b-9195-251650bb3c14,Care for food detail
prepare the restaurant for service,http://data.europa.eu/esco/skill/c011d9ef-b3f1-4f48-8d1b-9cdd288a4f55,Maintain tables clean and ready
speak different languages,http://data.europa.eu/esco/skill/2de4572a-4724-4f76-afc2-72a568a264ac,Nope
amusement park emergency procedures,http://data.europa.eu/esco/skill/c585a661-1720-4138-8cc7-0029452a8534,Nope
apply conflict management,http://data.europa.eu/esco/skill/0ee94af1-b445-4973-9c3f-459fab250342,Nope
operate brick oven,http://data.europa.eu/esco/skill/0a34aa62-441b-4aa4-ab21-db70656f0878,Nope
advise customers on accessories to complement clothing,http://data.europa.eu/esco/skill/1d2c317c-9921-4df1-85be-1eed1189d85e,Nope
keep records of customer interaction,http://data.europa.eu/esco/skill/8b7409b0-e18e-4dfc-9ad9-8ddbcce38849,Nope
dietary regimes,http://data.europa.eu/esco/skill/655d3d08-680a-40ea-8ffd-7e66916272fb,Nope
collect fares,http://data.europa.eu/esco/skill/eb83486b-4ade-43b6-b6d6-4aa9cdc5189c,Nope
inform visitors at tour sites,http://data.europa.eu/esco/skill/ef49078c-256b-452e-8729-54c0541442c4,Knowledge of local area culture
disseminate internal communications,http://data.europa.eu/esco/skill/1f6eac42-e5aa-4fa7-a75d-a4eea12c618e,Nope
provide teacher support,http://data.europa.eu/esco/skill/a13566a2-4461-4dcc-82b2-8280fb5bb993,Nope
use global distribution system,http://data.europa.eu/esco/skill/116083f9-8d05-4b2e-a15f-287b18de5f67,Nope
monitor guest access,http://data.europa.eu/esco/skill/1b45b91c-0949-45cf-a6d8-040a62423060,Tending to guest needs
instruct kitchen personnel,http://data.europa.eu/esco/skill/538b91e8-565c-4483-bf97-6ff120e207a7,Nope
advise guests on menus for special events,http://data.europa.eu/esco/skill/449f85e3-22e6-44d3-a295-b2fb1ab8b494,Nope
assist guest departure,http://data.europa.eu/esco/skill/094e594d-83cc-4480-bad8-fae0ec2ed8ab,Manage people logistically
develop professional network,http://data.europa.eu/esco/skill/bf5d77ad-e18c-48d8-83f0-bc79c011c74a,Nope
support children's wellbeing,http://data.europa.eu/esco/skill/a65fb963-6faf-47b2-a3d9-c4e5e4d833c5,Work with children (psychology)
customer insight,http://data.europa.eu/esco/skill/05fc6f8d-639c-4329-a6de-dfdd800ed091,Nope
measure customer feedback,http://data.europa.eu/esco/skill/89ba58e8-a67e-4d2b-ad42-6acab25c241b,Nope
cosmetic pedicure,http://data.europa.eu/esco/skill/21a40266-69b6-48be-b882-38b2f55fd703,Nope
