monitor guest access,2
maintain customer service,36
assist customers,6
assist guest departure,2
handle veterinary emergencies,4
greet guests,17
deal with aggressive behaviour,1
enforce regulations of selling alcoholic beverages to minors,1
handle customer complaints,11
maintain relationship with customers,7
assist VIP guests,3
comply with food safety and hygiene,26
identify nutritional properties of food,1
use cooking techniques,10
use culinary finishing techniques,7
work in a hospitality team,10
ensure cleanliness of food preparation area,5
composition of diets,1
dispose waste,8
use reheating techniques,8
maintain a safe, hygienic and secure working environment,6
maintain kitchen equipment at correct temperature,6
store raw food materials,8
use food preparation techniques,8
receive kitchen supplies,5
use food cutting tools,8
nutrition,1
handover the food preparation area,7
provide tourism related information,8
assist clients with special needs,11
maintain camping facilities,1
clean camping facilities,1
handle financial transactions,6
manage campsite supplies,1
conform to cosmetics regulatory requirements,2
decorate nails,2
cosmetics,3
skin types,2
cosmetic manicure,1
treat nails,2
maintain equipment,6
advise customers on usage of cosmetics,3
apply nail polish,2
cosmetics industry,3
cosmetic skin treatment,3
sterilise working environment,2
shape nails,2
identify customer's needs,14
work ergonomically,6
prepare pizza,1
plan menus,3
operate brick oven,1
health, safety and hygiene legislation,1
tend amusement park booths,1
clean amusement park facilities,1
provide amusement park information,1
announce amusement park attractions,1
amusement park emergency procedures,1
direct amusement park clients,1
assist amusement park visitors,1
monitor amusement park safety,1
operate amusement rides,1
serve food in table service,5
iron textiles,2
prepare sandwiches,3
make the beds,2
show social competences,4
clean rooms,1
wash the laundry,2
accompany people,2
relate empathetically,1
prepare ready-made dishes,4
listen actively,3
empathise with the healthcare user,1
keep company,2
clean surfaces,4
maintain cleanliness in the cloak room,1
manage lost and found articles,2
communicate with customers,13
allocate numbers to clients' belongings,1
tend to clients' personal items,1
cook pastry products,2
manage staff,3
ensure regular maintenance of kitchen equipment,1
think creatively about food and beverages,3
hair,3
style hair,3
promote yourself,1
stay up-to-date with fashion trends in hair style,2
process payments,9
treat facial hair,1
use equipment for hair care,3
work safely with chemicals,3
barbering techniques,1
hair products,3
advise on hair style,2
maintain working relationships,3
geographical areas relevant to tourism,4
upsell products,6
provide customised products,1
create solutions to problems,3
make logistical arrangements,1
provide performance feedback,1
process booking,4
devise special promotions,2
measure customer feedback,2
collect tourist information,2
handle personal identifiable information,5
apply foreign languages in tourism,2
manage health and safety standards,4
clear the bar at closing time,2
present decorative drink displays,2
handle glassware,2
serve beverages,4
maintain bar cleanliness,2
handle bar equipment,2
create new recipes,1
extract juices,1
handover the service area,4
work according to recipe,2
execute opening and closing procedures,4
set up bar area,2
prepare mixed beverages,1
prepare fruit ingredients for use in beverages,1
take payments for bills,3
present drinks menu,2
operate dishwashing machine,1
enforce alcohol drinking laws,2
assemble cocktail garnishes,1
display spirits,2
stock the bar,2
order supplies,3
slice fish,1
cook seafood,2
handle delivered packages,1
handle guest luggage,2
hair colouring,2
satisfy customers,4
curl hair,1
wash hair,2
dye hair,3
health and safety measures in transportation,3
carry out end of day accounts,1
deal with arrivals in accommodation,2
process reservations,3
deal with departures in accommodation,2
maintain customer records,3
assist children with homework,2
communicate with youth,4
play with children,3
attend to children's basic physical needs,5
supervise children,4
babysitting,1
